ID,Name,Eastern.Mansi,Source,Example,Comment
UT001,Is there a distinct category of dual for verbal agreement with a dual subject?,1,Kulonen 2007:38,UT001,
UT002,Is non-agreement in number between the nominal subject and verbal predicate possible?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT003,Can finite verbs agree in number with a nominal object?,1,Kulonen 2007:137,UT003,
UT004,Can an adnominal property word agree with the noun in case?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT005,Is there non-agreement between an adnominal property word and the head noun? ,1,Ulla-Maija Forsberg (p.c. 2020),UT005,There is no case agreement at all.
UT006,Can adpositions be used to mark core verbal arguments?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT008,Can non-finite clauses use a special means for core argument (S/A) marking?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT009,Can non-finite clauses use a special means for core argument (P) marking?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT010,"Do the characteristics of the object referent (topicality, animacy, definiteness) influence object marking?",1,Virtanen 2015:36,UT010,Topical objects are marked with the accusative.
UT011,Does object marking correlate with aspectuality?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT012,Does object marking depend on the verb conjugation form?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT013,Is there differential subject marking?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT014,"Can S and A be conflated morphologically across clause boundaries, i.e., act as a syntactic pivot?",1,Ulla-Maija Forsberg (p.c. 2020),UT014,
UT015,"Can S and P be conflated morphologically across clause boundaries, i.e., act as a syntactic pivot?",1,Ulla-Maija Forsberg (p.c. 2020),UT015,
UT016,Is there grammatical marking of habituality?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT017,Is there grammatical marking of frequentativity?,1,Kulonen 2007:109,UT017,There is a derivational suffix to express frequentative meaning.
UT018,Is there grammatical marking of progressivity?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT019,Is it common to use a verb in the present tense for future time reference?,1,Ulla-Maija Forsberg (p.c. 2020),UT019,
UT020,Is there grammatical marking of the immediate future?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT021,Is there grammatical marking of the pluperfect?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT022,Can aspect be expressed overtly in the negative marker?,0,Ulla-Maija Forsberg (p.c. 2020),,There is no negative verb.
UT023,Can tense be expressed overtly in the negative marker?,0,Ulla-Maija Forsberg (p.c. 2020),,There is no negative verb.
UT024,Is there grammatical marking of mirativity?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT025,Is there morphological marking on the verb dedicated to the expression of a desire or wish?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT026,Is there morphological marking on the verb dedicated to irrealis?,1,Kulonen 2007:156-161,"UT026-1, UT026-2, UT026-3",There are two conditional markers.
UT027,Are verbs marked with a non-indicative mood in counterfactual conditional clauses?,1,Kulonen 2007:163,UT027,
UT028,Is there morphological marking on the verb dedicated to the expression of deontic necessity?,0,Ulla-Maija Forsberg (p.c. 2020),,A semi-inflected word köärǝx is used (PL occasionally köärǝkǝt) (cf. UT042).
UT029,Is there morphological marking on the verb dedicated to the expression of epistemic possibility?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT030,Is there morphological marking on the verb dedicated to the expression of deontic possibility?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT031,"Is there morphological marking on the verb used to direct commands/wishes, etc. to the 3Sg?",1,Ulla-Maija Forsberg (p.c. 2020),"UT031-1, UT031-2",
UT032,"Is there morphological marking on the verb used to direct commands/wishes, etc. to the 1Sg?",1,Kulonen 2007:145,UT032,
UT033,Is it common to use the imperative/jussive in complement clauses introduced by predicates expressing wish/desire/will?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT034,Is there morphological marking on the verb dedicated to the expression of apprehension?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT035,Is there a reflexive conjugation?,0,Ulla-Maija Forsberg (p.c. 2020),,There is a derivative suffix.
UT037,Can non-singular 2nd and 3rd person have the same person/number marking or morphosyntactic treatment?,0,Ulla-Maija Forsberg (p.c. 2020),,There is syncretism in 2DU/2PL forms.
UT200,Can the 3rd person plural verb form and impersonal (passive) verb form be encoded in the same way?,0,Ulla-Maija Forsberg (p.c. 2020),,"Occasionally the personal passive is used, in which case the verb appears in the 3SG form: tow-ax° nog-wǝ-s (row-INF start-PASS.3SG-PRT) ’one began to row’."
UT040,Are 2nd person singular verb forms commonly used with a generic meaning?,0,Ulla-Maija Forsberg (p.c. 2020),,Occasionally the personal passive is used.
UT201,Can an infinitival verb form be used in a directive function?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT043,Can verbs in purposive subordinate clauses be infinitive forms?,1,Kulonen 2007:183,UT043,
UT044,Are there sentences without overt verbal arguments?,0,Ulla-Maija Forsberg (p.c. 2020),,"The subject (e.g., toorǝm ’sky’) appears."
UT045,Is a copula commonly used for predicate nominals in the 3rd person singular forms of the present tense?,0,Kulonen 2007:191,,"Copula is not needed, e.g. ,jääp-oåm lilǝng-äg? (brother-POSS.DU>1SG alive-DU) 'Are my two brothers alive?'."
UT202,Is a copula commonly used for predicate nominals in the past tense?,1,Ulla-Maija Forsberg (p.c. 2020),UT202,
UT047,Can locative constructions commonly occur without a copula?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT048,"Is the same coordinating conjunction commonly used for NPs, VPs, and clauses?",0,Ulla-Maija Forsberg (p.c. 2020),,There are no coordinating conjunctions.
UT049,Does existential negation have a special negator?,1,Kulonen 2007:193,UT049,
UT050,Can standard negation be asymmetric in the present tense?,0,Ulla-Maija Forsberg (p.c. 2020),,"In East Mansi, the negation is symmetric, e.g., om lyoonk-ǝm kansy-iilǝm : om lyoonk-ǝm öät kansy-iilǝm (1SG way-PX.SG>1SG know-PRS.SG>1SG : 1SG way-PX.SG>1SG NEG know-PRS.SG>1SG) 'I know my way : I do not know my way'."
UT051,Can non-finite dependent clauses use the standard negation construction?,1,Ulla-Maija Forsberg (p.c. 2020),,
UT052,Is there a special negator that combines with non-finite forms?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT053,Are there special negative non-finite forms?,1,Ulla-Maija Forsberg (p.c. 2020),UT053,
UT054,Is there an impersonal passive construction?,0,Kulonen 2007:183,,"Personal passive is occasionally used, e.g., minǝxʷ ti min-wǝ ton kʷäl töärǝ (go-INF so go-PASS.3SG that house trough) 'they go continously through that house'."
UT055,"Are there non-finite forms specializing in the relativization of particular core participants, e.g., subjects (S/A), direct objects (P), absolutive participants (S/P)?",1,Kulonen 2007:184-186,"UT055-1, UT055-2","The present participle is A/S oriented, whereas the past participle can refer to A, S, and P (teem ’who has eaten/which is eaten’)."
UT056,Are there non-finite forms that can relativize all core participants (S/A/P) and possibly also some non-core participants?,1,Kulonen 2007:185,"UT056-1, UT056-2",
UT057,Are there non-finite forms that can relativize at least some non-core participants but cannot relativize all core participants?,1,Kulonen 2007:188,UT057,
UT058,"Is there a specialized negative participial form, which cannot be analyzed as a specific participial marker + negative marker?",1,Kulonen 2007:83-84,UT058,"""The caritive suffix attached to the verb stem produces a verbal noun, the use of which resembles a participle, and which modifies the noun""."
UT059,Is there a future participle?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT060,Are there participles that can encode their subject with possessive suffixes?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT062,Are there participles that must agree with the nouns they modify in case and number in all contexts?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT063,Are there non-finite forms that can be used both as participles and action nominalizations?,1,Munkácsi and Kálmán 1986,"UT063-1, UT063-2",
UT064,Are there non-finite forms that can be used both as participles and agentive nominalizations?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT065,Are there non-finite forms that can be used both as participles and converbs?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT066,Is OV the neutral order in affirmative imperative clauses?,1,Ulla-Maija Forsberg (p.c. 2020),"UT066-1, UT066-2",
UT067,Is it possible to place an object between the negative marker and the main verb in imperative constructions?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT070,Is there diminutive (hypocoristic) marking on verbs?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT071,Can modifiers of action nominalizations in agent and patient roles both be encoded like possessors?,1,Ulla-Maija Forsberg (p.c. 2020),,"There is no marking for the possessor, but the possesee is marked with the possessive suffix."
UT072,Can the modifier of action nominalizations in the patient role be encoded like a direct object?,1,Ulla-Maija Forsberg (p.c. 2020),,
UT073,Do core adjectives agree with the subject noun in number in the predicative position?,1,Kulonen 2007:191,UT073,
UT074,Is there a bound superlative degree marker on property words?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT075,Can adpositions have person/number marking?,1,Ulla-Maija Forsberg (p.c. 2020),UT075,
UT076,Are there adpositions that show a tripartite system?,0,Ulla-Maija Forsberg (p.c. 2020),,"Adpositions show syncretism, e.g. kʷäl ji-poål-t (house back-side-LOC) 'behind the house' is used to mark location and goal; cf. kʷäl ji-poål-nǝl (house back-side-ABL) 'from behind the house'."
UT077,Is there case compounding?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT078,Are there morphological cases only used with pronouns?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT079,Does the numeral modification of a noun have an effect on its case selection?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT080,Is the singular form of the noun also used with numerals greater than 1?,1,Ulla-Maija Forsberg (p.c. 2020),"UT080-1, UT080-2, UT080-3",
UT082,Is there a dedicated case that expresses indirect object/recipient/goal (different from a local case)?,0,Ulla-Maija Forsberg (p.c. 2020),,Th lative is used but called dative in this function (and with personal pronouns).
UT083,Is there a dedicated case that expresses a terminative meaning?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT084,Is there a dedicated case that expresses the absence of a referent (abessive)?,1,Kulonen 2007:83,UT084,
UT085,Is there a dedicated case that expresses motion along or by a referent (prolative)?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT086,Is there a locative case that expresses goal?,1,Ulla-Maija Forsberg (p.c. 2020),UT086,
UT087,Is there a locative case that expresses location?,1,Ulla-Maija Forsberg (p.c. 2020),UT087,
UT088,Is there a locative case that expresses source?,1,Ulla-Maija Forsberg (p.c. 2020),UT088,
UT089,Is there case syncretism for goal and location marking?,0,Ulla-Maija Forsberg (p.c. 2020),,"Only in adpositions, e.g. åm poålt-ǝm ool-i (1SG by-PX.SG>1SG be-PRS.3SG) 'he is by me', åm poålt-ǝm joxt-i (1SG by-PX.SG>1SG come-PRS.3SG) 'he comes to me'. See also UT075."
UT090,Is there case syncretism for location and source marking?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT091,Are there two sets of local cases?,0,Ulla-Maija Forsberg (p.c. 2020),,
UT092,Are there three or more sets of local cases?,0,Ulla-Maija Forsberg (p.c. 2020),,
