ID,Name,Soikkola.Ingrian,Source,Example,Comment
UT001,Is there a distinct category of dual for verbal agreement with a dual subject?,0,Eva Saar (p.c. 2019),,
UT002,Is non-agreement in number between the nominal subject and verbal predicate possible?,1,Nirvi 1971:260,UT002,
UT003,Can finite verbs agree in number with a nominal object?,0,Eva Saar (p.c. 2019),,
UT004,Can an adnominal property word agree with the noun in case?,1,Eva Saar (p.c. 2019),UT004,
UT005,Is there non-agreement between an adnominal property word and the head noun? ,0,Eva Saar (p.c. 2019),,
UT006,Can adpositions be used to mark core verbal arguments?,0,Eva Saar (p.c. 2019),,
UT008,Can non-finite clauses use a special means for core argument (S/A) marking?,1,Eva Saar (p.c. 2019),,Such constructions hardly occur.
UT009,Can non-finite clauses use a special means for core argument (P) marking?,0,Eva Saar (p.c. 2019),,
UT010,"Do the characteristics of the object referent (topicality, animacy, definiteness) influence object marking?",0,Eva Saar (p.c. 2019),,
UT011,Does object marking correlate with aspectuality?,1,Eva Saar (p.c. 2019),"UT011-1, UT011-2",
UT012,Does object marking depend on the verb conjugation form?,1,Eva Saar (p.c. 2019),"UT012-1, UT012-2",
UT013,Is there differential subject marking?,1,Eva Saar (p.c. 2019),"UT013-1, UT013-2",
UT014,"Can S and A be conflated morphologically across clause boundaries, i.e., act as a syntactic pivot?",1,Eva Saar (p.c. 2019),UT014,
UT015,"Can S and P be conflated morphologically across clause boundaries, i.e., act as a syntactic pivot?",0,Eva Saar (p.c. 2019),,
UT016,Is there grammatical marking of habituality?,0,Eva Saar (p.c. 2019),,
UT017,Is there grammatical marking of frequentativity?,1,Markus and Rozhanskiy_Ingrian 2022:324,UT017,
UT018,Is there grammatical marking of progressivity?,1,Nirvi 1971:641,UT018,
UT019,Is it common to use a verb in the present tense for future time reference?,1,Eva Saar (p.c. 2019),UT019,
UT020,Is there grammatical marking of the immediate future?,1,Eva Saar (p.c. 2019),UT020,
UT021,Is there grammatical marking of the pluperfect?,1,Nirvi 1971:79,UT021,
UT022,Can aspect be expressed overtly in the negative marker?,0,Eva Saar (p.c. 2019),,
UT023,Can tense be expressed overtly in the negative marker?,0,Saar 2017:139,,
UT024,Is there grammatical marking of mirativity?,0,Eva Saar (p.c. 2019),,
UT025,Is there morphological marking on the verb dedicated to the expression of a desire or wish?,0,Eva Saar (p.c. 2019),,
UT026,Is there morphological marking on the verb dedicated to irrealis?,1,Eva Saar (p.c. 2019),UT026,
UT027,Are verbs marked with a non-indicative mood in counterfactual conditional clauses?,1,Eva Saar (p.c. 2019),UT027,
UT028,Is there morphological marking on the verb dedicated to the expression of deontic necessity?,0,Eva Saar (p.c. 2019),,
UT029,Is there morphological marking on the verb dedicated to the expression of epistemic possibility?,1,Saar 2017:148-149,UT029,The use of the potential mood has receded (Saar 2017:148-149).
UT030,Is there morphological marking on the verb dedicated to the expression of deontic possibility?,0,Eva Saar (p.c. 2019),,
UT031,"Is there morphological marking on the verb used to direct commands/wishes, etc. to the 3Sg?",1,Nirvi 1971:158,UT031,
UT032,"Is there morphological marking on the verb used to direct commands/wishes, etc. to the 1Sg?",0,Eva Saar (p.c. 2019),,
UT033,Is it common to use the imperative/jussive in complement clauses introduced by predicates expressing wish/desire/will?,0,Eva Saar (p.c. 2019),,Conditional mood is used.
UT034,Is there morphological marking on the verb dedicated to the expression of apprehension?,0,Eva Saar (p.c. 2019),,
UT035,Is there a reflexive conjugation?,0,Laanest 1986:126,,The reflexive conjugation was present in the Heva dialect; in Soikkola dialect it has not been attested.
UT037,Can non-singular 2nd and 3rd person have the same person/number marking or morphosyntactic treatment?,0,Saar 2017:138,,
UT039,Can the 3rd person plural verb form and impersonal (passive) verb form be encoded in the same way?,1,Saar 2017:151,UT039,
UT040,Are 2nd person singular verb forms commonly used with a generic meaning?,1,Nirvi 1971:74,UT040,
UT042,Can an infinitival verb form be used in a directive function?,0,Eva Saar (p.c. 2019),,
UT043,Can verbs in purposive subordinate clauses be bare infinitive forms?,1,Eva Saar (p.c. 2019),UT043,
UT044,Are there sentences without overt verbal arguments?,1,Nirvi 1971:612,UT044,
UT045,Is a copula commonly used for predicate nominals in the 3rd person singular forms of the present tense?,1,Eva Saar (p.c. 2019),UT045,
UT046,Is a copula commonly used for predicate nominals in the past tense?,1,Eva Saar (p.c. 2019),UT046,
UT047,Can locative constructions commonly occur without a copula?,0,Eva Saar (p.c. 2019),,
UT048,"Is the same coordinating conjunction commonly used for NPs, VPs, and clauses?",1,Eva Saar (p.c. 2019),"UT048-1, UT048-2",
UT049,Does existential negation have a special negator?,0,Eva Saar (p.c. 2019),,
UT050,Can standard negation be asymmetric in the present tense?,1,Eva Saar (p.c. 2019),UT050,
UT051,Can non-finite dependent clauses use the standard negation construction?,0,Eva Saar (p.c. 2019),,
UT052,Is there a special negator that combines with non-finite forms?,0,Eva Saar (p.c. 2019),,
UT053,Are there special negative non-finite forms?,1,Eva Saar (p.c. 2019),UT053,
UT054,Is there an impersonal passive construction?,1,Eva Saar (p.c. 2019),UT054,
UT055,"Are there non-finite forms specializing in the relativization of particular core participants, e.g., subjects (S/A), direct objects (P), absolutive participants (S/P)?",1,"Nirvi 1971:162, 325","UT055-1, UT055-2",
UT056,Are there non-finite forms that can relativize all core participants (S/A/P) and possibly also some non-core participants?,0,Eva Saar (p.c. 2019),,
UT057,Are there non-finite forms that can relativize at least some non-core participants but cannot relativize all core participants?,0,Eva Saar (p.c. 2019),,
UT058,"Is there a specialized negative participial form, which cannot be analyzed as a specific participial marker + negative marker?",0,Eva Saar (p.c. 2019),,
UT059,Is there a future participle?,0,Eva Saar (p.c. 2019),,
UT060,Are there participles that can encode their subject with possessive suffixes?,0,Eva Saar (p.c. 2024),,Only in folksongs.
UT062,Are there participles that must agree with the nouns they modify in case and number in all contexts?,1,Nirvi 1971:159,UT062,
UT063,Are there non-finite forms that can be used both as participles and action nominalizations?,0,Eva Saar (p.c. 2019),,
UT064,Are there non-finite forms that can be used both as participles and agentive nominalizations?,1,Eva Saar (p.c. 2024),"UT064-1, UT064-2",Rare.
UT065,Are there non-finite forms that can be used both as participles and converbs?,0,Eva Saar (p.c. 2019),,
UT066,Is OV the neutral order in affirmative imperative clauses?,0,Eva Saar (p.c. 2019),UT066,
UT067,Is it possible to place an object between the negative marker and the main verb in imperative constructions?,1,Nirvi 1971:31,UT067,
UT070,Is there diminutive (hypocoristic) marking on verbs?,0,Eva Saar (p.c. 2019),,
UT071,Can modifiers of action nominalizations in agent and patient roles both be encoded like possessors?,1,Eva Saar (p.c. 2019),"UT071-1, UT071-2",
UT072,Can the modifier of action nominalizations in the patient role be encoded like a direct object?,1,Eva Saar (p.c. 2019),"UT072-1, UT072-2",
UT073,Do core adjectives agree with the subject noun in number in the predicative position?,1,Eva Saar (p.c. 2019),UT073,
UT074,Is there a bound superlative degree marker on property words?,0,Laanest 1986:124,,
UT075,Can adpositions have person/number marking?,1,Laanest 1986:121-123,UT075,The use of possessive suffixes has declined.
UT076,Are there adpositions that show a tripartite system?,1,Eva Saar (p.c. 2019),UT076,
UT077,Is there case compounding?,0,Eva Saar (p.c. 2019),,
UT078,Are there morphological cases only used with pronouns?,1,Markus and Rozhanskiy_Ingrian 2022:316,UT078,Accusative is used only with plural personal pronouns. 
UT079,Does the numeral modification of a noun have an effect on its case selection?,1,Eva Saar (p.c. 2019),UT079,
UT080,Is the singular form of the noun also used with numerals greater than 1?,1,Eva Saar (p.c. 2019),UT079,
UT082,Is there a dedicated case that expresses indirect object/recipient/goal (different from a local case)?,0,Eva Saar (p.c. 2019),,
