ID,Name,Nganasan,Source,Example,Comment
UT001,Is there a distinct category of dual for verbal agreement with a dual subject?,1,Beáta Wagner-Nagy (p.c. 2020),,"There is an agreement with the logical subject. In the comitative construction the agreement is dual (plural), however a few instances of singular, the verb is always in dual if the subject in a pronoun in dual. If there are two grammatical subjects (such as my mother and my father) in a sentence, the predicate is in the dual. This expresses that the two subjects act together. After quantifiers such as ŋukəgəə ‘many, much’, bǝnsǝ ‘all’ or numerals, the predicate agrees formally with the subject, i.e. it appears in the singular."
UT002,Is non-agreement in number between the nominal subject and verbal predicate possible?,0,Wagner-Nagy 2019:369,,The predicate agrees in person and number with the subject.
UT003,Can finite verbs agree in number with a nominal object?,1,Beáta Wagner-Nagy (p.c. 2020),"UT003-1, UT003-2","Verbs in the objective conjugation agree with the object in number, the ending depends on the number. The verbal marker for object in dual is complex, it contains the dual marker."
UT004,Can an adnominal property word agree with the noun in case?,1,Beáta Wagner-Nagy (p.c. 2020),"UT004-1, UT004-2","Only the declination of three grammatical cases (nominative, accusative, genitive) can appear on adjectives. In all other cases, the pre-modifier is in the genitive case. "
UT005,Is there non-agreement between an adnominal property word and the head noun? ,1,Beáta Wagner-Nagy (p.c. 2020),,In all locative cases.
UT006,Can adpositions be used to mark core verbal arguments?,0,Wagner-Nagy 2022:761-762,,
UT008,Can non-finite clauses use a special means for core argument (S/A) marking?,1,Wagner-Nagy 2019:437-438,UT008,The subject of the temporal clause may be appear in the genitive.
UT009,Can non-finite clauses use a special means for core argument (P) marking?,0,Wagner-Nagy 2022:in passim,,
UT010,"Do the characteristics of the object referent (topicality, animacy, definiteness) influence object marking?",0,Wagner-Nagy 2019:195,,
UT011,Does object marking correlate with aspectuality?,0,Beáta Wagner-Nagy (p.c. 2020),,
UT012,Does object marking depend on the verb conjugation form?,1,Wagner-Nagy 2022:772,UT012,With imperative forms the nominative is used.
UT013,Is there differential subject marking?,0,Wagner-Nagy 2019:193,,"In the active sentence, the over subject is always expressed with the nominative case."
UT014,"Can S and A be conflated morphologically across clause boundaries, i.e., act as a syntactic pivot?",1,Wagner-Nagy 2019:364,,
UT015,"Can S and P be conflated morphologically across clause boundaries, i.e., act as a syntactic pivot?",0,Wagner-Nagy 2019:364,,
UT016,Is there grammatical marking of habituality?,1,Wagner-Nagy 2019:534-535,UT016,The suffix -mUNHA shows that a situation takes place reguraly.
UT017,Is there grammatical marking of frequentativity?,1,Wagner-Nagy 2019:534,UT017,
UT018,Is there grammatical marking of progressivity?,0,Wagner-Nagy 2019:233,,"However, the imperfective verbs in the aorist tense refer to the present tense and thus express progressivity. "
UT019,Is it common to use a verb in the present tense for future time reference?,0,Wagner-Nagy 2019:233,,
UT020,Is there grammatical marking of the immediate future?,1,Wagner-Nagy 2022:767,UT020,The resultative is used to indicate that an action will start immediately.
UT021,Is there grammatical marking of the pluperfect?,1,Wagner-Nagy 2022:766,UT021,
UT022,Can aspect be expressed overtly in the negative marker?,1,Beáta Wagner-Nagy (p.c. 2020),UT022,
UT023,Can tense be expressed overtly in the negative marker?,1,Beáta Wagner-Nagy (p.c. 2020),UT023,All tense markers can appear on the negative auxiliary.
UT024,Is there grammatical marking of mirativity?,1,"Wagner-Nagy 2019:259, 540",,The dubitative mood may be used to express surprise. There is also an exclamative clitic that has a mirative usage.
UT025,Is there morphological marking on the verb dedicated to the expression of a desire or wish?,1,Wagner-Nagy 2019:246-247,UT025,"Optative may be used to express wishes or admonition. This mood is, however, rarely attested."
UT026,Is there morphological marking on the verb dedicated to irrealis?,1,Wagner-Nagy 2019:255,UT027,
UT027,Are verbs marked with a non-indicative mood in counterfactual conditional clauses?,1,Wagner-Nagy 2019:256,UT027,
UT028,Is there morphological marking on the verb dedicated to the expression of deontic necessity?,1,Wagner-Nagy 2019:256-257,UT028,"There is necessitive (or debitive mood), but it is only seldom used."
UT029,Is there morphological marking on the verb dedicated to the expression of epistemic possibility?,1,Wagner-Nagy 2019:260-261,UT029,There is a speculative mood that is used to express speaker's assumptions.
UT030,Is there morphological marking on the verb dedicated to the expression of deontic possibility?,0,Wagner-Nagy 2019:240-262,,
UT031,"Is there morphological marking on the verb used to direct commands/wishes, etc. to the 3Sg?",1,Wagner-Nagy 2019:246,UT031,
UT032,"Is there morphological marking on the verb used to direct commands/wishes, etc. to the 1Sg?",1,Wagner-Nagy 2019:242,UT032,
UT033,Is it common to use the imperative/jussive in complement clauses introduced by predicates expressing wish/desire/will?,0,Wagner-Nagy 2019:435-437,,
UT034,Is there morphological marking on the verb dedicated to the expression of apprehension?,0,Wagner-Nagy 2019:241,,
UT035,Is there a reflexive conjugation?,1,Wagner-Nagy 2019:225,UT035,
UT037,Can non-singular 2nd and 3rd person have the same person/number marking or morphosyntactic treatment?,1,Wagner-Nagy 2019:233,,"Reflexive-medial conjugation shows the same person/number marking, e.g., ďeŋhiďi-Ɂi-ti is used for 2DU and 3DU (< ďembiɁsʲi 'to dress')."
UT200,Can the 3rd person plural verb form and impersonal (passive) verb form be encoded in the same way?,0,Wagner-Nagy 2022:769-770,,Passive sentences are formed using a passive suffix or a passive participle.
UT040,Are 2nd person singular verb forms commonly used with a generic meaning?,1,Wagner-Nagy 2019:434,,"In generic statement, normally the 2nd person possessive suffix is used as subject marker."
UT201,Can an infinitival verb form be used in a directive function?,?,Wagner-Nagy 2019:in passim,,
UT043,Can verbs in purposive subordinate clauses be infinitive forms?,1,Wagner-Nagy 2019:442-444,UT043,Typically supine structures are used; the bare infinitive occurs with motion verbs. 
UT044,Are there sentences without overt verbal arguments?,1,Wagner-Nagy 2019:288,UT044,
UT045,Is a copula commonly used for predicate nominals in the 3rd person singular forms of the present tense?,0,Wagner-Nagy 2019:347,,
UT202,Is a copula commonly used for predicate nominals in the past tense?,1,Wagner-Nagy 2019:350,UT202,Tense and mood markers only appear on verbal categories.
UT047,Can locative constructions commonly occur without a copula?,1,Wagner-Nagy 2019:358,UT047,"If the pivot is expressed by a pronoun, copula is not obligatory."
UT048,"Is the same coordinating conjunction commonly used for NPs, VPs, and clauses?",0,Wagner-Nagy 2019:429,,"Conjunctive coordinated clauses are usually juxtaposed without any coordinator. However, there are also some borrowed coordinators. The Russian coordinator is only used at the clause level."
UT049,Does existential negation have a special negator?,1,Wagner-Nagy 2019:414-415,UT049,
UT050,Can standard negation be asymmetric in the present tense?,1,Wagner-Nagy 2019:272,UT050,
UT051,Can non-finite dependent clauses use the standard negation construction?,1,Wagner-Nagy 2019:409,UT051,
UT052,Is there a special negator that combines with non-finite forms?,0,Wagner-Nagy 2019:409,,
