ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
GB024,kolm poissi,,kolm poissi,three boy.PRT,three boys,Erelt et al. 1993:140
GB025,tol päeval,,to-l päeva-l,that-ADE day-ADE,on that day,Erelt et al. 1993:117
GB027-1,Jüri abiellus Mariga,,Jüri abiellu-s Mari-ga ,Jüri marry-PST.3SG Mari-COM,Jüri married Mari,Erelt et al. 1993:217
GB027-2,Jüri ja Mari abiellusid,,Jüri ja Mari abiellu-si-d,Jüri and Mari marry-PST-3PL,Jüri and Mari got married,Erelt et al. 1993:217
GB044,raamatud,,raamatu-d,book-PL,books,Erelt et al. 1995: 61
GB047,Isa kõva norskamine äratas lapse üles,,isa kõva norska-mine ärata-s lapse üles,father.GEN loud snore-NMLZ wake-PST.3SG child.GEN up ,Father's loud snoring woke up the child,Erelt et al. 1995:478
GB048,koguma : koguja,,kogu-ma : kogu-ja,collect-INF2 : collect-AG.NMLZ,to collect : collector,Erelt et al. 1995:482
GB049,arenema : areng,,arene-ma : areng,develop-INF2 : development,to develop : development,Erelt and Metslang 2017:832
GB065,minu vanaema lauluraamat,,minu vanaema lauluraamat,1SG.GEN grandmother.GEN songbook,my grandmother's songbook ,Erelt et al. 1995:53
GB070,Aednik kasvatas suure kõrvitsa,,aednik kasvata-s suure kõrvitsa,gardener grow-PST.3SG big.GEN pumpkin.GEN,Gardener grew a big pumpkin,Erelt et al. 1993:46
GB071,see teeb mind närviliseks,,see tee-b min-d närvilise-ks,it make-3SG 1SG-PRT nervous-TRA,It makes me nervous,Erelt and Metslang 2017:563
GB072,Tulime linnast,,tul-i-me linna-st,come-PST-1PL town-ELA,We came from the town,Erelt et al. 1995:50
GB073,Oled sa temalt ka hiljem kirju saanud?,,ole-d sa tema-lt ka hiljem kirju saa-nud,be-2SG 2SG 3SG-ABL also later letter.PL.PRT recieve-ACT.PST.PTCP ,Have you recieved letters from him later as well?,Erelt et al. 1995:59
GB074,piki teed,,piki tee-d,along road-PRT,along the road,Erelt et al. 1995:37
GB075,suure puu all,,suure puu all,big.GEN tree.GEN under,under the big tree,Erelt et al. 1995:37
GB080,Mari kirjutavat luuletusi,,Mari kirjuta-vat luuletusi,Mari write-QUOT poem.PL.PRT,Mari is said to write poems,Erelt et al. 1995:79
