ID,Name,Forest.Enets,Source,Example,Comment
UT001,Is there a distinct category of dual for verbal agreement with a dual subject?,1,Khanina and Shluinsky 2023:814,UT001,
UT002,Is non-agreement in number between the nominal subject and verbal predicate possible?,0,Olesya Khanina (p.c. 2020),,
UT003,Can finite verbs agree in number with a nominal object?,1,Khanina and Shluinsky 2023:815,UT003,
UT004,Can an adnominal property word agree with the noun in case?,0,Khanina and Shluinsky 2023:812,,Instances of agreement in case can not be attested.
UT005,Is there non-agreement between an adnominal property word and the head noun? ,1,Khanina and Shluinsky 2023:812,,Instances of agreement in case can not be attested.
UT006,Can adpositions be used to mark core verbal arguments?,1,Khanina and Shluinsky 2023:837,"UT006-1, UT006-2",
UT008,Can non-finite clauses use a special means for core argument (S/A) marking?,1,Khanina and Shluinsky 2023:848,UT008,One of the options is to express the subject of non-finite clause by an overt NP in oblique.
UT009,Can non-finite clauses use a special means for core argument (P) marking?,0,Khanina and Shluinsky 2023:848,,P is marked in the same way in finite and non-finite clauses.
UT010,"Do the characteristics of the object referent (topicality, animacy, definiteness) influence object marking?",1,"Khanina and Shluinsky 2023:800-801, 836-837",,"However, only very few nouns distinguish between nominative and oblique in non-possessed forms, where properties of the object can be a decisive factor. For marking in the verb, topicality of the object is the most important factor."
UT011,Does object marking correlate with aspectuality?,0,Olesya Khanina (p.c. 2020),,
UT012,Does object marking depend on the verb conjugation form?,1,Olesya Khanina (p.c. 2020),,"In imperative clauses, the object is usually encoded with the nominative. However,  also accusative marking can be found, which could be Russian influence as such marking cannot be attested in the speech of previous generations."
UT013,Is there differential subject marking?,0,Olesya Khanina (p.c. 2020),,
UT014,"Can S and A be conflated morphologically across clause boundaries, i.e., act as a syntactic pivot?",1,Siegl 2013:412,,"""Irrespective of whether a clause is active or passive, its subject can be omitted if its referent is identical with that of the subject referent of the preceding clause."""
UT015,"Can S and P be conflated morphologically across clause boundaries, i.e., act as a syntactic pivot?",0,Olesya Khanina (p.c. 2020),,
UT016,Is there grammatical marking of habituality?,1,Khanina and Shluinsky 2023:842,UT016,Habitual is used to express a regular event.
UT017,Is there grammatical marking of frequentativity?,1,Khanina and Shluinsky 2023:828,UT017,
UT018,Is there grammatical marking of progressivity?,0,Khanina and Shluinsky 2023:in passim,,
UT019,Is it common to use a verb in the present tense for future time reference?,?,Olesya Khanina (p.c. 2020),,This needs further research.
UT020,Is there grammatical marking of the immediate future?,0,Khanina and Shluinsky 2023:in passim,,
UT021,Is there grammatical marking of the pluperfect?,1,Khanina and Shluinsky 2023:823,UT021,The aorist has no overt morpheme; the basic form of aorist refers to the past with perfective verbs.
UT022,Can aspect be expressed overtly in the negative marker?,0,Khanina and Shluinsky 2023:824-826,,
UT023,Can tense be expressed overtly in the negative marker?,1,"Siegl 2013:76, 302",UT023,
UT024,Is there grammatical marking of mirativity?,0,Khanina and Shluinsky 2023:823,,The mirative interpretation is an extension of the perfect.
UT025,Is there morphological marking on the verb dedicated to the expression of a desire or wish?,0,Siegl 2013:298,,There might have been a desiderative mood once.
UT026,Is there morphological marking on the verb dedicated to irrealis?,1,Khanina and Shluinsky 2023:823-824,UT026,"The subjunctive ""expresses a hypothetical event with the basic tense-modal series, and an irrealis event with the past TM-series"". Subjunctive is common in Forest Enets, very rare in modern Tundra Enets."
UT027,Are verbs marked with a non-indicative mood in counterfactual conditional clauses?,1,Khanina and Shluinsky 2023:824,UT027,An analytic construction consisting of a conditional converb of the auxiliary with anterior participle is used.
UT028,Is there morphological marking on the verb dedicated to the expression of deontic necessity?,1,Khanina and Shluinsky 2023:823,UT028,Debitive also expresses reference to the future.
UT029,Is there morphological marking on the verb dedicated to the expression of epistemic possibility?,1,Khanina and Shluinsky 2023:824,"UT029-1, UT029-2",The probabilitive and interrogative can be used in this function.
UT030,Is there morphological marking on the verb dedicated to the expression of deontic possibility?,1,Khanina and Shluinsky 2023:819-822,UT030,The soft imperative is used to express mild commands.
UT031,"Is there morphological marking on the verb used to direct commands/wishes, etc. to the 3Sg?",1,Khanina and Shluinsky 2023:819-822,UT031,
UT032,"Is there morphological marking on the verb used to direct commands/wishes, etc. to the 1Sg?",1,Khanina and Shluinsky 2023:819-822,UT032,
UT033,Is it common to use the imperative/jussive in complement clauses introduced by predicates expressing wish/desire/will?,0,Olesya Khanina (p.c. 2020),,
UT034,Is there morphological marking on the verb dedicated to the expression of apprehension?,0,Khanina and Shluinsky 2023:823-824,,
UT035,Is there a reflexive conjugation?,1,Khanina and Shluinsky 2023:in passim,,"It is not reflexive in meaning, but traditionally called so."
UT037,Can non-singular 2nd and 3rd person have the same person/number marking or morphosyntactic treatment?,1,Khanina and Shluinsky 2023:820,,Plural or dual object in 2DU and 3DU are both marked by -ziʔ.
UT039,Can the 3rd person plural verb form and impersonal (passive) verb form be encoded in the same way?,?,Siegl 2013:409,,
UT040,Are 2nd person singular verb forms commonly used with a generic meaning?,1,Olesya Khanina (p.c. 2020),,
UT042,Can an infinitival verb form be used in a directive function?,0,Olesya Khanina (p.c. 2020),,
UT043,Can verbs in purposive subordinate clauses be bare infinitive forms?,1,Khanina and Shluinsky 2023:846-847,,"With the verbs of motion, the converb or supine is used, while with other verbs the converb is used."
UT044,Are there sentences without overt verbal arguments?,1,Olesya Khanina (p.c. 2020),UT044,"There are verbs which can never have an overt argument, and those which can be used with and without an overt argument."
UT045,Is a copula commonly used for predicate nominals in the 3rd person singular forms of the present tense?,0,Siegl 2013:334,,
UT046,Is a copula commonly used for predicate nominals in the past tense?,1,"Khanina and Shluinsky 2023:839-840, 805-806",,
UT047,Can locative constructions commonly occur without a copula?,0,Khanina and Shluinsky 2023:840,,Locative clauses are formed with copulas ɛ-/ŋa-.
UT048,"Is the same coordinating conjunction commonly used for NPs, VPs, and clauses?",1,Khanina 2016,,
UT049,Does existential negation have a special negator?,1,Siegl 2013:340-342,,dʲagu- 'be absent(IPFV)'
UT050,Can standard negation be asymmetric in the present tense?,1,Khanina and Shluinsky 2023:824,,Clausal negation involves a negative verb + a lexical verb in the non-finite connegative form.
UT051,Can non-finite dependent clauses use the standard negation construction?,1,Olesya Khanina (p.c. 2020),,
UT052,Is there a special negator that combines with non-finite forms?,0,Olesya Khanina (p.c. 2020),,
UT053,Are there special negative non-finite forms?,1,Khanina and Shluinsky 2023:817,,There is a negative anterior participle (see also UT058).
UT054,Is there an impersonal passive construction?,?,Siegl 2013:348,,
