ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
GB024-1,a̭k͕̄t̜s̜ɛ karnassi̮d,,a̭k͕̄t̜s̜ɛ karnass-i̮d,nine raven-PRT,nine ravens,Itkonen and Europaeus 1931:304-307
GB024-2,koл̄m a̭l̜ɢ͕̀ɛ,,koл̄m a̭l̜ɢ͕̀ɛ,three son.NOM.PL,three sons,Itkonen and Europaeus 1931:310-312
GB025-1,tanne paʀst,,tanne paʀ-st,this.GEN.SG house-LOC.SG,from\in this house,Szabó 1967:144
GB025-2,taḱḱi ri̮ɴtɛ,,taḱḱi ri̮ɴtɛ,this.NOM.PL shore.NOM.PL,these shores,Szabó 1968:103
GB027-1,kà͕l'ȧś àɢḱȧi̯ńes jiel'l'en,,kà͕l'ȧś àɢḱȧ-i̯ń-es jiel'l'-en,old.man.NOM.SG old.woman-COM.SG-POSS.3 live-PST.3PL,An old man lived with his wife,Sienkiewicz-Gudkova 1960
GB027-2,jelĺi͔n kali̮zai ja ākai,,jelĺ-i͔n kali̮z-ai ja āk-ai,live-PST.3PL old.man-DIM.NOM.SG and old.woman-DIM.NOM.SG,There lived an old man and old woman,Szabó 1967:136
GB047,jėȧłła̭ma̮š < jiel̜l̜eᵈ,,jėȧłła̭-ma̮š < jiel̜l̜e-ᵈ,live-NMLZ.NOM.SG < live-INF,life < to live,Itkonen 1958:58
GB048,jiel̜l̜e (jiel̜l̜eja) < jiel̜l̜eᵈ,,jiel̜l̜e (jiel̜l̜e-j-a) < jiel̜l̜e-ᵈ,live.AG.NOM.SG (live-AG-DAT.SG) < live-INF,living being < to live,Itkonen 1958:58
GB049-1,porra̮m < porra̮ᵈ,,porra̮-m < porra̮-ᵈ,eat-PTCP < eat-INF,food < to eat,Itkonen 1958:397
GB049-2,a̭s̄ta < a̭s̄ta̮ᵈ,,a̭s̄ta < a̭s̄ta̮-ᵈ,have.time.OBJ.NMLZ.NOM.SG < have.time-INF,free time < to have time,Itkonen 1958:31
GB065-1,pī̮r̜r̜ɛ jiedž́e a̭l̜̄ᵍk͕ɛ,,pī̮r̜r̜ɛ jiedž́e a̭l̜̄ᵍk͕ɛ,good father.GEN.SG son.NOM.SG,son of a good father,Itkonen and Europaeus 1931:290
GB065-2,kali̮zai ṕeni̮i,,kali̮z-ai ṕeni̮i,old.man-DIM.GEN.SG dog.NOM.PL,the old man's dogs,Szabó 1967:152
GB070-1,a̭лgai̯ vàl'ᴅ́ì roźa,,a̭лg-ai̯ vàl'ᴅ́-ì roź-a,son-DIM.NOM.SG take-PST.3SG horse-ACC.SG,The boy took the horse,Sienkiewicz-Gudkova 1960
GB070-2,a̭лgai̯ ōwлi̮ki̮əďì,,a̭лg-ai̯ ōwлi̮-ki̮əď-ì,son-DIM.NOM.SG cry-INCH-PST.3SG,The boy began to cry,Sienkiewicz-Gudkova 1960
GB070-3,kà͕l'ȧś a̭лɢ̄a vàl'ᴅ́ì pa̭ʀʿti̮,,kà͕l'ȧś a̭лɢ̄-a vàl'ᴅ́-ì pa̭ʀʿt-i̮,old.man.NOM.SG son-DIM.ACC.SG take-PST.3SG house-DAT.SG,The old man took the boy into the house,Sienkiewicz-Gudkova 1960
GB071-1,mȯn vi̮ə̑лga̮m,,mȯn vi̮ə̑лg-a̮m,1SG.NOM go.away-PRS.1SG,I will go away,Itkonen and Europaeus 1931:287-291
GB071-2,mȯn ju͕ɔ̄t̜egȯadam màī̭na̮zi̮,,mȯn ju͕ɔ̄t̜e-gȯad-am màī̭na̮z-i̮,1SG.NOM tell-INCH-PRS.1SG story-ACC.SG,I start to tell the story,Itkonen and Europaeus 1931:297-301
GB071-3,jel̜ ťš́ī̮ᵇp̀ mȯna̮,,jel̜ ťš́ī̮ᵇp̀ mȯn-a̮,PROH.SG hit.IMP 1SG-ACC,Don't hit me,Itkonen and Europaeus 1931:291-292
GB072-1,kol't́ɛ oлmi̮i̯ a̭л̄ɢ̄ańi sā͕rənta,,kol't́ɛ oлmi̮i̯ a̭л̄ɢ̄-ań-i sā͕rənt-a,gold man.NOM.SG son-DIM-DAT.SG tell-PRS.3SG,The Golden Man tells the boy...,Sienkiewicz-Gudkova 1960
GB072-2,"pei̯j sᵘona̮ sāńńi, kieź tsāŕŕi",,pei̯j sᵘon-a̮ sāńń-i kieź tsāŕŕ-i,put.IMP.SG 3SG-ACC sledge-DAT.SG take.IMP.SG tsar-DAT.SG,Put him in a sledge and take him to the tsar,Sienkiewicz-Gudkova 1960
GB073-1,āɔ̄ḱes sońńe sā͕rənta,,āɔ̄ḱ-es sońń-e sā͕rənt-a,old.woman.NOM.SG-POSS.3 3SG-DAT tell-PRS.3SG,His wife tells to him...,Sienkiewicz-Gudkova 1960
GB073-2,ša̭nᴅ̄a̮i sȯn̜n̜e a̭l̜̄ᵍk͕ɛ,,ša̭nᴅ̄a̮i sȯn̜n̜-e a̭l̜̄ᵍk͕ɛ,born-PASS.3SG 3SG-DAT son.NOM.SG,She gave birth to a son,Itkonen and Europaeus 1931:302-304
GB074-1,tanna vard'iškɛd˙i͔i pi̮rr koada,,tanna vard'i-škɛd˙-i͔i pi̮rr koada,then walk-INCH-PST.3SG around hut.GEN.SG,Then she started walking around the hut,Kert 1961:172
