ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
GB024,s'id'a po xəya,,s'id'a po xəya,two year go,(Exactly) two years passed.,Nikolaeva 2014:157
GB025,t'ukuº werah ti,,t'ukuº wera-h ti,this Wera-GEN reindeer,this reindeer of Wera's,Nikolaeva 2014:141
GB026,yes'ºda malºh m'it'eryəda,,yes'º-da malºh m'it'er-yə-da,money-PL.ACC.3SG all give.away-PL.OBJ-3SG,He gave away all his money.,Nikolaeva 2014:159
GB027-1,Weraxəna toº,,Wera-xəna toº,Wera-LOC come,He came with (his) Wera.,Nikolaeva 2014:64
GB027-2,mən'º təd'ekəxətº pidərº,,mən'º təd'ekəxətº pidərº,I then you,me and you,Nikolaeva 2014:416
GB031-1,mən'ih,,mən'ih,1DU,we two,Nikolaeva 2014:47
GB031-2,pidºr'ih,,pidºr'ih,2DU,you two,Nikolaeva 2014:47
GB031-3,pid'ih,,pid'ih,3DU,they two,Nikolaeva 2014:47
GB046,Weraxºh toŋaxºh,,Wera-xºh toŋa-xºh,Wera-DU come-3DU,Wera and somebody associated with him came.,Nikolaeva 2014:418
GB049-1,padºnəbc'ºh,,padºnə-bc'ºh,write-DN,pen,Nikolaeva 2014:31
GB049-2,yil'es'ºh,,yil'e-s'ºh,live-DN,dwelling,Nikolaeva 2014:31
GB059-1,səwarº n'urº,,səwa-rº n'u-rº,good-2SG.POSS child-2SG.POSS,your good child,Nikolaeva 2014:155
GB059-2,t'exa-q t'ír'e-dº,,t'exa-q t'ír'e-dº,that-PL cloud-PL.2SG.POSS,those clouds of yours,Nikolaeva 2014:142
GB065,noxah tæ̅wa,,noxa-h tæ̅wa,polar.fox-GEN tail,polar fox's tail,Nikolaeva 2014:142
GB068,t'ukuº wen'ako-xºh səwa-xºh,,t'ukuº wen'akoxºh səwaxºh,this dog-DU good-3DU,These two dogs are/were good.,Nikolaeva 2014:252
GB075,xarədºh m'udº,,xarədº-h m'udº,house-GEN out,out of the house,Nikolaeva 2014:188
GB083,ŋawºna wæ̅wah yil'eəc'º,,ŋawºna wæ̅wa-h yil'eə-c'º,in.the.past bad-GEN live-3PL.PST,In the past they lived poorly.,Nikolaeva 2014:81
GB084,tən'ana sirah yolc'ºnta yil'eŋkuq,,tən'ana sira-h yolc'ºnta yil'e-ŋku-q,there snow-GEN until live-FUT-3PL,They will live there until the snow.,Nikolaeva 2014:83
GB105,t'ukuº n'enec'əm knigaxəna miqŋawº.,,t'ukuº n'enec'ə-m kniga-xəna miqŋa-wº.,this person-ACC book-LOC give-1SG.S.SG.O,I provided this man with the book.,Nikolaeva 2014:236
GB111-1,xasawadºm,,xasawa-dºm,work-1SG,I work,Nikolaeva 2014:76
GB111-2,meəwº,,meə-wº,take-1SG.S.SG.O,I take it,Nikolaeva 2014:79
GB113,,,yarº-t'e-,cry-CAUS,to cause to cry,Nikolaeva 2014:231
GB117-1,Weraxºh Was'axºh toxolkodaxºh ŋæ̅ŋkuxºh,,Wera-xºh Was'a-xºh toxolko-da-xºh ŋæ̅-ŋku-xºh,Wera-DU Wasya-DU study-IMPF.PART-DU be-FUT-3DU,Wera and Wasya will be students.,Nikolaeva 2014:255
GB117-2,wæ̅wa ŋæ̅dakedºm,,wæ̅wa ŋæ̅-dakedºm,bad be-PROB.1SG,I am probbly bad.,Nikolaeva 2014:252
GB126-1,pedaraxºna tudakoq tən'aºq,,pedara-xºna tudako-q tən'aº-q,forest-LOC mushroom-PL exist-3PL,There are mushrooms in the forest.,Nikolaeva 2014:251
GB126-2,yəxºh warºh n'in'a pidərº yəŋkunº,,yəxº-h warº-h n'in'a pidərº yəŋku-nº,river-GEN bank-GEN on 2SG no-2SG,You are not on the river bank.,Nikolaeva 2014:251
GB134,"n'e n'ūmtº xən'ana xayesarº, t'ukuº ŋəwor'I t'ikiº yanºh malºh tæ̅wºranºq",,"n'e n'ū-mtº xən'ana xaye-sa-rº, t'ukuº ŋəwor'I t'ikiº ya-nºh malºh tæ̅wºra-nºq",woman child-ACC.2SG where leave-INTER-2SG.S.SG.O this thing.PL.ACC that place-DAT all bring-IMP.2SG.S.PL.O,Take these things to where you left your daguhter.,Nikolaeva 2004:284
GB135,pidərº s'iqm'i məncºraº tab'edaº ŋæ̅wadalnº,,pidərº s'iqm'I məncºra-º tab'eda-º ŋæ̅wadal-nº,2SG 1SG.ACC work-MOD order-MOD stop-2SG,You stopped forcing me to work.,Nikolaeva 2014:345
GB137,t'ukuº ŋənom n'īwəs'º s'ertaq,,t'ukuº ŋəno-m n'ī-wə-s'º s'erta-q,this boat-ACC NEG-1SG>SG.O-PST do-CONNEG,I didn't t make this boat.,Nikolaeva 2014:272
GB184,ŋarkaq tiq,,ŋarka-q ti-q,big-PL reindeer-PL,big reindeer,Nikolaeva 2014:152
GB185,t'ikiºq ŋod'aq,,t'ikiº-q ŋod'a-q,this-PL berry-PL,those berries,Nikolaeva 2014:142
GB187,p'īq poŋkºna tukoc'a ŋəd'i,,p'īq poŋkºna tu-ko-c'a ŋəd'i,tree.PL.GEN between fire-DIM-DIM be.seen,A small fire is seen between trees. ,Nikolaeva 2014:136
GB188,wen'akoqya,,wen'ako-qya,dog-AUG,big dog,Nikolaeva 2014:138
GB204-1,malºh wen'aku xadeyənº,,malºh wen'aku xade-yə-nº,all dog.PL.ACC kill-PL.OBJ-1SG,I killed all the dogs.,Nikolaeva 2014:159
GB204-2,xusuweyº mərºkəna meºdəmcº,,xusuweyº mərºkəna meº-dəm-cº,each city.LOC be-1SG-PST,I've been in each city.,Nikolaeva 2014:160
GB254,(mən'º) wen'akom'i (mən'º) tən'aº,,(mən'º) wen'ako-m'i (mən'º) tən'aº,1SG dog-1SG.POSS 1SG exist,I have a dog.,Nikolaeva 2014:250
GB266,t'ukuº pəniº takiº pənexədº səwa.,,t'ukuº pəniº takiº pəne-xədº səwa.,this coat that coat-ABL good,This coat is better than that one.,Nikolaeva 2014:174
GB276,t'ukuº yal'ax t'eyºh p'iruwºna yibarka,,t'ukuº yal'a-x t'eyºh p'iruwºna yiba-rka,this day-GEN yesterday compared warm-CMPR,Today is warmer than yesterday.,Nikolaeva 2014:174
GB286,tūtºsa?,,tū-tº-sa?,come-FUT-INTER,I wonder: did he have come or not?,Nikolaeva 2014:98
GB302,t'on'a pidarº xadawerº ŋæ̅dakiº,,t'on'a pidarº xada-werº ŋæ̅-dakiº,fox 2SG kill-PRF.PTCP-2SG be-PROB,The fox is probably killed by you.,Nikolaeva 2014:243
GB304,t'ukuº ŋəno Werah s'ertawiº,,t'ukuº ŋəno Wera-h s'erta-wiº,this boat Wera-GEN do-PRF.PTCP,This boat is made by Wera.,Nikolaeva 2014:241
GB305,pixºdəxºdən'I p'īnºədºm,,pixºdə-xºdən'I p'īnºə-dºm,REFL-ABL.1SG be.afraid-1SG,I am afraid of myself.,Nikolaeva 2014:48
GB306,walakəda n'īn'ih wun'in'ih xoŋkuq,,walakəda n'īn'ih wun'i-n'ih xo-ŋku-q,but REC.ACC.1DU NEG.EMPH-1DU find-FUT-CONNEG,But we will not find each other.,Nikolaeva 2014:49
GB313,pida puxac'ada,,pida puxac'a-da,3SG wife-3SG.POSS,his wife,Nikolaeva 2014:143
GB322,ləwºq p'ikad'oq sowontoh,,ləwºq p'ikad'o-q so-won-toh,oar.PL.GEN splash-PL hear-AUD-3PL,The splashing of oars is heard.,Nikolaeva 2014:113
GB323,tīnaq yamtoh war'ol'ewedoh,,tīnaq ya-mtoh war'ol'e-wedoh,reindeer.PL.1PL place-ACC.3PL trample-INFER.3PL.S.SG.O,The reindeer have trampled that place.,Nikolaeva 2014:93
GB324,xəqmancanº?,,xəqman-ca-nº?,what.say-INTER-2SG,What did you say?,Nikolaeva 2014:265
GB326,t'en'ana Wera t'ukuº tim xən'ana xadasada?,,t'en'ana Wera t'ukuº ti-m xən'ana xada-sa-da?,yesterday Wera this reindeer-ACC where kill-INTER-3SG.S.SG.O,Where did Wera kill this reindeer yesterday?,Nikolaeva 2014:266
GB328,Werah xadawiº t'ukuº ti,,Wera-h xada-wiº t'ukuº ti,Wera-GEN kill-PERF.PTCP this reindeer,this reindeer which Wera killed,Nikolaeva 2014:295
GB401-1,saxarəm pudabtaºda,,saxarə-m pudabtaº-da,sugar-ACC spill-3SG.S.SG.O,He spilt the sugar.,Nikolaeva 2014:225
GB401-2,saxarº pudabteyºq,,saxarº pudabteyºq,sugar spill.REFL.3SG,The sugar spilt.,Nikolaeva 2014:225
GB403-1,toº,,toº,come.3SG,s/he comes,Nikolaeva 2014:25
GB403-2,tuq,,tu-q,come-IMP.2SG,Come!,Nikolaeva 2014:25
GB433,ŋənom'i,,ŋəno-m'i,boat-1SG.POSS,my boat,Nikolaeva 2014:67
GB522,ladºərº,,ladºə-rº,hit-2SG.S.SG.O,You hit him.,Nikolaeva 2014:386
